id,GridID,X_coord,Y_coord
2438,311,1763370,5901250
2517,312,1763870,5901250
2596,313,1764370,5901250
1489,337,1757370,5901750
2042,344,1760870,5901750
2121,345,1761370,5901750
2358,348,1762870,5901750
2437,349,1763370,5901750
2516,350,1763870,5901750
2595,351,1764370,5901750
2674,352,1764870,5901750
1409,376,1756870,5902250
1567,378,1757870,5902250
1646,379,1758370,5902250
1725,380,1758870,5902250
1962,383,1760370,5902250
2041,384,1760870,5902250
2278,387,1762370,5902250
2357,388,1762870,5902250
2436,389,1763370,5902250
2515,390,1763870,5902250
2594,391,1764370,5902250
2673,392,1764870,5902250
2752,393,1765370,5902250
1408,418,1756870,5902750
1487,419,1757370,5902750
1566,420,1757870,5902750
1645,421,1758370,5902750
1724,422,1758870,5902750
1803,423,1759370,5902750
1882,424,1759870,5902750
1961,425,1760370,5902750
2040,426,1760870,5902750
2198,428,1761870,5902750
2277,429,1762370,5902750
2356,430,1762870,5902750
2435,431,1763370,5902750
2514,432,1763870,5902750
2593,433,1764370,5902750
2672,434,1764870,5902750
2751,435,1765370,5902750
2830,436,1765870,5902750
1407,460,1756870,5903250
1486,461,1757370,5903250
1565,462,1757870,5903250
1644,463,1758370,5903250
1723,464,1758870,5903250
1802,465,1759370,5903250
1881,466,1759870,5903250
1960,467,1760370,5903250
2118,469,1761370,5903250
2197,470,1761870,5903250
2276,471,1762370,5903250
2355,472,1762870,5903250
2434,473,1763370,5903250
2513,474,1763870,5903250
2592,475,1764370,5903250
2671,476,1764870,5903250
2750,477,1765370,5903250
2829,478,1765870,5903250
2908,479,1766370,5903250
1327,503,1756370,5903750
1406,504,1756870,5903750
1485,505,1757370,5903750
1564,506,1757870,5903750
1643,507,1758370,5903750
1722,508,1758870,5903750
1801,509,1759370,5903750
1880,510,1759870,5903750
1959,511,1760370,5903750
2117,513,1761370,5903750
2196,514,1761870,5903750
2275,515,1762370,5903750
2354,516,1762870,5903750
2433,517,1763370,5903750
2512,518,1763870,5903750
2591,519,1764370,5903750
2670,520,1764870,5903750
2749,521,1765370,5903750
2828,522,1765870,5903750
2907,523,1766370,5903750
1168,545,1755370,5904250
1247,546,1755870,5904250
1326,547,1756370,5904250
1405,548,1756870,5904250
1484,549,1757370,5904250
1563,550,1757870,5904250
1642,551,1758370,5904250
1721,552,1758870,5904250
1800,553,1759370,5904250
1879,554,1759870,5904250
1958,555,1760370,5904250
2037,556,1760870,5904250
2274,559,1762370,5904250
2353,560,1762870,5904250
2432,561,1763370,5904250
2511,562,1763870,5904250
2590,563,1764370,5904250
2669,564,1764870,5904250
2748,565,1765370,5904250
2827,566,1765870,5904250
2906,567,1766370,5904250
2985,568,1766870,5904250
1167,590,1755370,5904750
1246,591,1755870,5904750
1325,592,1756370,5904750
1404,593,1756870,5904750
1483,594,1757370,5904750
1562,595,1757870,5904750
1641,596,1758370,5904750
1720,597,1758870,5904750
1799,598,1759370,5904750
1878,599,1759870,5904750
1957,600,1760370,5904750
2036,601,1760870,5904750
2115,602,1761370,5904750
2194,603,1761870,5904750
2273,604,1762370,5904750
2352,605,1762870,5904750
2431,606,1763370,5904750
2510,607,1763870,5904750
2589,608,1764370,5904750
2668,609,1764870,5904750
2747,610,1765370,5904750
2826,611,1765870,5904750
2905,612,1766370,5904750
2984,613,1766870,5904750
3063,614,1767370,5904750
1166,636,1755370,5905250
1245,637,1755870,5905250
1324,638,1756370,5905250
1403,639,1756870,5905250
1482,640,1757370,5905250
1561,641,1757870,5905250
1640,642,1758370,5905250
1719,643,1758870,5905250
1798,644,1759370,5905250
1877,645,1759870,5905250
1956,646,1760370,5905250
2035,647,1760870,5905250
2114,648,1761370,5905250
2193,649,1761870,5905250
2272,650,1762370,5905250
2351,651,1762870,5905250
2430,652,1763370,5905250
2509,653,1763870,5905250
2588,654,1764370,5905250
2667,655,1764870,5905250
2746,656,1765370,5905250
2825,657,1765870,5905250
2904,658,1766370,5905250
2983,659,1766870,5905250
3062,660,1767370,5905250
1244,683,1755870,5905750
1323,684,1756370,5905750
1402,685,1756870,5905750
1481,686,1757370,5905750
1560,687,1757870,5905750
1639,688,1758370,5905750
1718,689,1758870,5905750
1797,690,1759370,5905750
1876,691,1759870,5905750
1955,692,1760370,5905750
2034,693,1760870,5905750
2113,694,1761370,5905750
2192,695,1761870,5905750
2271,696,1762370,5905750
2350,697,1762870,5905750
2429,698,1763370,5905750
2508,699,1763870,5905750
2587,700,1764370,5905750
2666,701,1764870,5905750
2745,702,1765370,5905750
2824,703,1765870,5905750
2903,704,1766370,5905750
2982,705,1766870,5905750
3061,706,1767370,5905750
3140,707,1767870,5905750
1006,728,1754370,5906250
1243,731,1755870,5906250
1480,734,1757370,5906250
1559,735,1757870,5906250
1638,736,1758370,5906250
1717,737,1758870,5906250
1796,738,1759370,5906250
1875,739,1759870,5906250
1954,740,1760370,5906250
2033,741,1760870,5906250
2112,742,1761370,5906250
2191,743,1761870,5906250
2270,744,1762370,5906250
2349,745,1762870,5906250
2428,746,1763370,5906250
2507,747,1763870,5906250
2586,748,1764370,5906250
2665,749,1764870,5906250
2744,750,1765370,5906250
2823,751,1765870,5906250
2902,752,1766370,5906250
2981,753,1766870,5906250
3060,754,1767370,5906250
3139,755,1767870,5906250
1163,778,1755370,5906750
1242,779,1755870,5906750
1479,782,1757370,5906750
1558,783,1757870,5906750
1637,784,1758370,5906750
1716,785,1758870,5906750
1795,786,1759370,5906750
1874,787,1759870,5906750
1953,788,1760370,5906750
2032,789,1760870,5906750
2111,790,1761370,5906750
2190,791,1761870,5906750
2269,792,1762370,5906750
2348,793,1762870,5906750
2427,794,1763370,5906750
2506,795,1763870,5906750
2585,796,1764370,5906750
2664,797,1764870,5906750
2743,798,1765370,5906750
2822,799,1765870,5906750
2901,800,1766370,5906750
2980,801,1766870,5906750
3059,802,1767370,5906750
3138,803,1767870,5906750
3217,804,1768370,5906750
1004,825,1754370,5907250
1083,826,1754870,5907250
1162,827,1755370,5907250
1241,828,1755870,5907250
1320,829,1756370,5907250
1478,831,1757370,5907250
1557,832,1757870,5907250
1636,833,1758370,5907250
1715,834,1758870,5907250
1794,835,1759370,5907250
1873,836,1759870,5907250
1952,837,1760370,5907250
2031,838,1760870,5907250
2110,839,1761370,5907250
2189,840,1761870,5907250
2268,841,1762370,5907250
2347,842,1762870,5907250
2426,843,1763370,5907250
2505,844,1763870,5907250
2584,845,1764370,5907250
2663,846,1764870,5907250
2742,847,1765370,5907250
2821,848,1765870,5907250
2900,849,1766370,5907250
2979,850,1766870,5907250
3058,851,1767370,5907250
3137,852,1767870,5907250
3216,853,1768370,5907250
1003,874,1754370,5907750
1082,875,1754870,5907750
1161,876,1755370,5907750
1240,877,1755870,5907750
1319,878,1756370,5907750
1398,879,1756870,5907750
1477,880,1757370,5907750
1556,881,1757870,5907750
1635,882,1758370,5907750
1714,883,1758870,5907750
1793,884,1759370,5907750
1872,885,1759870,5907750
1951,886,1760370,5907750
2030,887,1760870,5907750
2109,888,1761370,5907750
2188,889,1761870,5907750
2267,890,1762370,5907750
2346,891,1762870,5907750
2425,892,1763370,5907750
2504,893,1763870,5907750
2583,894,1764370,5907750
2662,895,1764870,5907750
2741,896,1765370,5907750
2820,897,1765870,5907750
2899,898,1766370,5907750
2978,899,1766870,5907750
3057,900,1767370,5907750
3136,901,1767870,5907750
3215,902,1768370,5907750
1397,929,1756870,5908250
1555,931,1757870,5908250
1713,933,1758870,5908250
1792,934,1759370,5908250
1871,935,1759870,5908250
1950,936,1760370,5908250
2029,937,1760870,5908250
2108,938,1761370,5908250
2187,939,1761870,5908250
2266,940,1762370,5908250
2345,941,1762870,5908250
2424,942,1763370,5908250
2503,943,1763870,5908250
2582,944,1764370,5908250
2661,945,1764870,5908250
2740,946,1765370,5908250
2819,947,1765870,5908250
2898,948,1766370,5908250
2977,949,1766870,5908250
3056,950,1767370,5908250
3135,951,1767870,5908250
3214,952,1768370,5908250
3293,953,1768870,5908250
1317,978,1756370,5908750
1396,979,1756870,5908750
1475,980,1757370,5908750
1554,981,1757870,5908750
1633,982,1758370,5908750
1712,983,1758870,5908750
1791,984,1759370,5908750
1870,985,1759870,5908750
1949,986,1760370,5908750
2028,987,1760870,5908750
2107,988,1761370,5908750
2186,989,1761870,5908750
2265,990,1762370,5908750
2344,991,1762870,5908750
2423,992,1763370,5908750
2502,993,1763870,5908750
2581,994,1764370,5908750
2739,996,1765370,5908750
2818,997,1765870,5908750
2897,998,1766370,5908750
2976,999,1766870,5908750
3055,1000,1767370,5908750
3134,1001,1767870,5908750
3213,1002,1768370,5908750
3292,1003,1768870,5908750
1316,1029,1756370,5909250
1395,1030,1756870,5909250
1474,1031,1757370,5909250
1553,1032,1757870,5909250
1632,1033,1758370,5909250
1711,1034,1758870,5909250
1790,1035,1759370,5909250
1869,1036,1759870,5909250
1948,1037,1760370,5909250
2027,1038,1760870,5909250
2106,1039,1761370,5909250
2185,1040,1761870,5909250
2264,1041,1762370,5909250
2343,1042,1762870,5909250
2422,1043,1763370,5909250
2501,1044,1763870,5909250
2580,1045,1764370,5909250
2659,1046,1764870,5909250
2975,1050,1766870,5909250
3054,1051,1767370,5909250
3133,1052,1767870,5909250
3212,1053,1768370,5909250
3291,1054,1768870,5909250
1315,1080,1756370,5909750
1394,1081,1756870,5909750
1473,1082,1757370,5909750
1552,1083,1757870,5909750
1631,1084,1758370,5909750
1710,1085,1758870,5909750
1789,1086,1759370,5909750
1868,1087,1759870,5909750
1947,1088,1760370,5909750
2026,1089,1760870,5909750
2105,1090,1761370,5909750
2184,1091,1761870,5909750
2263,1092,1762370,5909750
2342,1093,1762870,5909750
2421,1094,1763370,5909750
2500,1095,1763870,5909750
2579,1096,1764370,5909750
2658,1097,1764870,5909750
2737,1098,1765370,5909750
2816,1099,1765870,5909750
2895,1100,1766370,5909750
2974,1101,1766870,5909750
3053,1102,1767370,5909750
3132,1103,1767870,5909750
3211,1104,1768370,5909750
3290,1105,1768870,5909750
1393,1132,1756870,5910250
1472,1133,1757370,5910250
1551,1134,1757870,5910250
1630,1135,1758370,5910250
1709,1136,1758870,5910250
1788,1137,1759370,5910250
1867,1138,1759870,5910250
2341,1144,1762870,5910250
2420,1145,1763370,5910250
2499,1146,1763870,5910250
2578,1147,1764370,5910250
2657,1148,1764870,5910250
2736,1149,1765370,5910250
2894,1151,1766370,5910250
2973,1152,1766870,5910250
3052,1153,1767370,5910250
3131,1154,1767870,5910250
3210,1155,1768370,5910250
3289,1156,1768870,5910250
3368,1157,1769370,5910250
839,1177,1753370,5910750
918,1178,1753870,5910750
2340,1196,1762870,5910750
2419,1197,1763370,5910750
2498,1198,1763870,5910750
2577,1199,1764370,5910750
2656,1200,1764870,5910750
2735,1201,1765370,5910750
2814,1202,1765870,5910750
2972,1204,1766870,5910750
3051,1205,1767370,5910750
3130,1206,1767870,5910750
3209,1207,1768370,5910750
3288,1208,1768870,5910750
3367,1209,1769370,5910750
838,1229,1753370,5911250
917,1230,1753870,5911250
996,1231,1754370,5911250
1075,1232,1754870,5911250
1154,1233,1755370,5911250
1233,1234,1755870,5911250
1707,1240,1758870,5911250
1786,1241,1759370,5911250
1865,1242,1759870,5911250
2023,1244,1760870,5911250
2102,1245,1761370,5911250
2260,1247,1762370,5911250
2339,1248,1762870,5911250
2418,1249,1763370,5911250
2497,1250,1763870,5911250
2576,1251,1764370,5911250
2655,1252,1764870,5911250
2971,1256,1766870,5911250
3050,1257,1767370,5911250
3129,1258,1767870,5911250
3208,1259,1768370,5911250
3287,1260,1768870,5911250
3366,1261,1769370,5911250
837,1282,1753370,5911750
916,1283,1753870,5911750
995,1284,1754370,5911750
1074,1285,1754870,5911750
1153,1286,1755370,5911750
1232,1287,1755870,5911750
1311,1288,1756370,5911750
